NAME	elevation	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016	"fast = neg %, slow = pos %"																
OREGON	3300	1.4	3.3	4.5	5.6	4.5	6.8	5.1	5.6	3.3	0.4	1.3	3.0	0.4	4.5	4.8	5.0	4.9	1027.181818	1033.752027	1041.946067	1054.602049	1057.336245	1055.376096	1038.380856	1178.781875	1013.7942	1015.226573	1006.7893	1014.354	1003.246354	1006.7315	1005.0956	998.5514486	1001.923077
PENNSYLVANIA	1100	100.0	100.0	7.7	4.5	6.8	8.2	5.9	-6.1	7.6	8.0	7.8	7.0	7.6	7.7	7.4	7.1	7.9		1238.972696	1146.163405	1124.929286	1172.822519	1190.789286	1178.279175	1153.512766	1136.752083	1171.3978	1171.9559	1143.2012	1120.040759	1138.0737	1127.21978	1096.7082	1113.1337
RHODE_ISLAND	200	100.0	100.0	100.0	100.0	100.0	100.0	6.6	3.8	1.0	-12.6	-12.8	-13.4	-14.9	-13.9	-14.5	-12.9	-12.8	1092.805333	1087.410512	1077.738693	1068.09596	1092.492965	1060.55	1084.609244	1069.885207	1081.642857	1114.0594	1097.4663	1074.1754	1100.8615	1054.888247	1052.0296	1046.8592	1051.455944
SOUTH_CAROLINA	350	100.0	2.2	1.9	100.0	100.0	100.0	13.7	100.0	-0.9	0.5	0.9	1.4	1.1	2.0	2.3	1.5	1.3			1041.842857	1079.95	1065.64375	1045.05	1076.2	1203.500971	1033.101898	1029.1819	1024.65332	1030.4977	1021.574801	1020.035394	1023.0254	1023.7109	1018.345763
SOUTH_DAKOTA	2200	15.9	-0.3	0.4	0.5	-1.2	1.2	3.1	1.5	-2.4	-5.1	-7.9	-6.6	-6.6	-8.9	-10.1	-9.1	-7.8							1067.956522	1090.797842	1106.924405	1260.077465	1254.342535	1256.527954	1269.618776	1258.507379	1265.866557	1243.980246	1247.5339
TENNESSEE	900	100.0	6.8	4.0	3.5	2.1	-15.7	-13.6	-8.9	-0.3	0.2	1.2	1.4	1.2	1.8	2.1	2.1	1.7		1099.821429	1107.968				987		1128.1741	1113.84975	1101.6559	1092.8765	1092.6364	1082.1088	1079.7399	1084.5808	1090.6067
TEXAS	1700	3.0	4.0	1.8	4.8	9.1	4.7	5.0	6.0	8.5	9.6	10.2	10.4	9.2	9.1	10.4	10.0	10.9	932	1127.757637	1124.18895	1125.741714	1157.832692	1124.627954	1107.342286	1117.309459	1145.620879	1175.681049	1199.22371	1181.502584	1178.374608	1203.080836	1216.837913	1201.776	1192.0394
UTAH	6100	17.8	20.3	17.5	100.0	10.1	8.3	11.6	5.9	9.4	-3.1	-8.0	-1.9	-0.1	-9.8	1.3	-1.2	1.4		1048.2	1083.528571	1091.295455	1119.436364	1316.564103	1298.554762	1234.797161	1121.4373	1116.732	1098.5408	1092.4039	1091.5994	1084.9264	1081.445	1078.4348	1086.216683
VERMONT	1000	-6.9	-8.1	-8.0	-11.8	-6.8	-9.8	-17.3	-17.9	-16.4	-14.7	-17.3	-17.5	-21.9	-16.7	-17.1	-16.3	-14.7	1074.958015	1078.898256	1109.051946	1076.98403	1039.744508	1084.560264	1085.816	1066.1047	1023.08008	1011.302597	998.7814	992.547657	1004.045455	1003.615669	990.4775225	991.1403596	984.7175474
VIRGINIA	950	12.7	7.3	-2.4	100.0	100.0	11.9	7.3	-10.7	5.8	6.3	6.7	6.3	6.4	6.7	6.7	6.7	6.9	911	896.5	931.2		1028.771429	1044.002778	1011.033333	1067.516667	1013.209091	1153.518382	1200.491129	1128.3955	1106.459041	1212.372311	1090.3256	1114.5399	1090.0486
WASHINGTON	1700	1.5	4.8	4.0	5.1	7.5	2.7	3.6	3.6	4.7	6.8	5.8	7.4	6.1	7.8	8.0	8.0	7.7	1184.186957	1215.443243	1219.813559	1264.803922	1221.382576	1249.340824	1341.342105	1336.596958	1302.069579	1283.436705	1304.090722	1301.673997	1347.146786	1288.689312	1293.910734	1281.537451	1268.538874
WEST_VIRGINIA	1500	-10.0	-7.3	2.1	0.8	0.1	2.2	-2.6	2.1	-10.9	-12.2	-13.0	-14.8	-13.0	-15.4	-14.8	-14.0	-13.0	966.8444444	1042.178571	1155.971429			1003	1059.26	1255.691346	1053.871357	1048.403472	1037.2289	1038.486169	1034.084776	1030.486282	1030.762028	1027.924	1029.6041
WISCONSIN	1050	4.2	6.0	7.3	7.0	5.5	5.3	6.9	5.3	-0.4	6.2	6.4	6.2	6.4	6.4	6.4	6.4	6.6	1091.724138	1069.941434	1083.417391	1073.001773	1058.517832	1107.854758	1102.476904	1093.10224	1066.581962	1043.2737	1046.961	1026.38951	1037.603996	1018.7951	1016.574	1013.8655	1020.787912
WYOMING	6700	7.2	5.9	-2.8	-4.2	-4.2	-3.1	-4.1	-4.0	-6.3	-10.6	-14.5	-14.6	-12.2	-11.0	-13.2	-12.2	-12.1	1218.330973	1205.907759	1105.073387	1122.185714	1142.630058	1112.802198	1172.361878	1110.591954	1240.036905	1255.849252	1256.045921	1272.199772	1248.852491	1274.900568	1268.881142	1255.788721	1249.0547
																			1061.863747	1056.684223	1046.687726	1051.745926	1081.364578	1077.922871	1064.402609	1073.441929	1123.397534	1050.0801	1040.845309	1038.6979	1034.116484	1033.6594	1034.7566	1030.7728	1032.136
																			1028.39	1057.973333	1160.946114	1178.754369	1191.786667	1173.094712	1189.506	1179.682673	1188.604286	1237.947619	1272.877854	1269.999125	1240.514662	1226.092945	1250.666779	1235.575369	1239.752236
